"group","participant_id","word_1","response","correct","response_type","valid_status","valid_response","valid_participant"
"spa-ENG","5ee0c7f...","boli","ball",false,"wrong","Valid",true,true
"spa-ENG","5ee7665...","boli","i'm great",false,"other","Valid",false,true
"spa-ENG","5b1ec77...","botella","tomorrow",false,"wrong","Valid",true,true
"spa-ENG","5b6f4c6...","botella","bottle",true,"correct","Valid",true,true
"spa-ENG","5d687a7...","botella","turnip",false,"wrong","Valid",true,true
"spa-ENG","5d6c21b...","botella","botella",false,"language","Insufficient trials",false,false
"spa-ENG","5dae0ea...","botella","door",false,"wrong","Valid",true,true
"spa-ENG","5dd6934...","botella","potato",false,"wrong","Valid",true,true
"spa-ENG","5e2c9ac...","botella","house",false,"wrong","Valid",true,true
"spa-ENG","5e32a99...","botella","potatoe",false,"wrong","Language impairment",true,false
"spa-ENG","5e3878b...","botella","bottle",true,"correct","Valid",true,true
"spa-ENG","5e52fa4...","botella","botega",false,"wrong","Valid",true,true
"spa-ENG","5e60db5...","botella","potato",false,"wrong","Valid",true,true
"spa-ENG","5e64212...","botella","potato",false,"wrong","Insufficient trials",true,false
"spa-ENG","5e6571b...","botella","bottle",true,"correct","Valid",true,true
"spa-ENG","5e71e92...","botella","potatp",false,"wrong","Valid",true,true
"spa-ENG","5e788a0...","botella","potato",false,"wrong","Valid",true,true
"spa-ENG","5e84efb...","botella","bottle",true,"correct","Valid",true,true
"spa-ENG","5e95bef...","botella","cup",false,"wrong","Valid",true,true
"spa-ENG","5e96292...","botella","potato",false,"wrong","Valid",true,true
"spa-ENG","5e9b959...","botella","bottle",true,"correct","Valid",true,true
"spa-ENG","5e9df7f...","botella",,false,"blank","Insufficient trials",false,false
"spa-ENG","5eacad0...","botella","bored",false,"wrong","Valid",true,true
"spa-ENG","5eaeeb1...","botella","bottle",true,"correct","Valid",true,true
"spa-ENG","5eb2d2d...","botella","potato",false,"wrong","Insufficient trials",true,false
"spa-ENG","5eb3c2e...","botella",,false,"blank","Insufficient trials",false,false
"spa-ENG","5eb450d...","botella","pottery",false,"wrong",,true,
"spa-ENG","5eb54aa...","botella","button",false,"wrong","Valid",true,true
"spa-ENG","5eb9b01...","botella","boys",false,"wrong","Valid",true,true
"spa-ENG","5eb9e95...","botella","bodegna",false,"language","Insufficient trials",false,false
"spa-ENG","5ebef0e...","botella","boat",false,"wrong","Valid",true,true
"spa-ENG","5ec27b1...","botella","potato",false,"wrong","Valid",true,true
"spa-ENG","5ec7e25...","botella","potato",false,"wrong","Valid",true,true
"spa-ENG","5ec83d6...","botella","home",false,"wrong","Valid",true,true
"spa-ENG","5ed8bf9...","botella","battalion",false,"wrong","Valid",true,true
"spa-ENG","5ee0c7f...","botella","b",false,"incomplete","Valid",false,true
"spa-ENG","5ee7665...","botella","bottom",false,"wrong","Valid",true,true
"spa-ENG","5b1ec77...","boton","well done",false,"wrong","Valid",true,true
"spa-ENG","5b6f4c6...","boton","button",true,"correct","Valid",true,true
"spa-ENG","5d687a7...","boton","bread",false,"wrong","Valid",true,true
"spa-ENG","5d6c21b...","boton","boton",false,"language","Insufficient trials",false,false
"spa-ENG","5dae0ea...","boton","dog",false,"wrong","Valid",true,true
"spa-ENG","5dd6934...","boton","baton",false,"wrong","Valid",true,true
"spa-ENG","5e2c9ac...","boton","baton",false,"wrong","Valid",true,true
